

('Nike Men Blue T20 Indian Cricket Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/1.jpg', 10, 'nike-men-blue-t20-indian-cricket-jersey'),
('Nike Mean Team India Cricket Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/2.jpg', 10, 'nike-mean-team-india-cricket-jersey'),
('Puma Men Ferrari Black Fleece Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/3.jpg', 10, 'puma-men-ferrari-black-fleece-jacket'),
('Ferrari Tee', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/4.jpg', 10, 'ferrari-tee'),
('Puma Men Ferrari Track Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/5.jpg', 10, 'puma-men-ferrari-track-jacket'),
('Puma Men Grey Solid Round Neck T-Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/6.jpg', 10, 'puma-men-grey-solid-round-neck-t-shirt'),
('Puma Men Grey Leaping Cat T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/7.jpg', 10, 'puma-men-grey-leaping-cat-t-shirt'),
('Puma Men Cat Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/8.jpg', 10, 'puma-men-cat-red-t-shirt'),
('Puma Men Black Leaping Cat T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/9.jpg', 10, 'puma-men-black-leaping-cat-t-shirt'),
('Puma Men Black Net Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/10.jpg', 10, 'puma-men-black-net-jersey'),
('Puma Men Red Net Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/11.jpg', 10, 'puma-men-red-net-jersey'),
('Puma Men Ferrari Track Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/12.jpg', 10, 'puma-men-ferrari-track-black-t-shirt'),
('Puma Men Ferrari Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/13.jpg', 10, 'puma-men-ferrari-grey-t-shirt'),
('Puma Men Ferrari Vintage Black Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/14.jpg', 10, 'puma-men-ferrari-vintage-black-polo-t-shirt'),
('Quechua Men Sweat Proof Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/15.jpg', 10, 'quechua-men-sweat-proof-grey-t-shirt'),
('Quechua Men Sweat Proof Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/16.jpg', 10, 'quechua-men-sweat-proof-blue-t-shirt'),
('Kipsta Men Sports White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/17.jpg', 10, 'kipsta-men-sports-white-t-shirt'),
('Domyos Men Good Stroke Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/18.jpg', 10, 'domyos-men-good-stroke-red-t-shirt'),
('Domyos Men Grey Second Skin Jacket', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/19.jpg', 10, 'domyos-men-grey-second-skin-jacket'),
('Domyos Men White Dry-Fit T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/20.jpg', 10, 'domyos-men-white-dry-fit-t-shirt'),
